symbol,strategy_mode,param_label,short_win,long_win,dev_win,hurst_config,signal_price_col,trade_price_col,return_mode,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,turnover,final_nav,active_ratio
ZN,fixed,"S=60, L=140, D=60, H=rs_default",60,140,60,rs_default,close,open,open_to_open,0.09621095888095721,0.15570196794309057,0.617917423600725,0.21566510045971454,0.4461127863334062,0.5022805017103763,1.1496386927645177,6.079312623925976,3.01332721002367,0.5727032385988103
JM,fixed,"S=60, L=140, D=60, H=rs_default",60,140,60,rs_default,close,open,open_to_open,0.11391866266702255,0.21794073638471378,0.5227047708324286,0.4273079679214188,0.26659615831917277,0.5007163323782235,1.1726344688467532,8.161269001982815,3.652696727044576,0.456708526107072
AL,fixed,"S=60, L=140, D=60, H=rs_default",60,140,60,rs_default,close,open,open_to_open,0.05513865056647549,0.1307341643002217,0.42176160196238766,0.36204509887203906,0.15229774063579757,0.5055617352614016,1.0952035044561703,6.329147389292796,1.9050192952293663,0.5951751487111698
J,fixed,"S=60, L=140, D=60, H=rs_default",60,140,60,rs_default,close,open,open_to_open,0.06790266401271783,0.20754496080341212,0.32717086336312284,0.4695970117459979,0.1445977344707763,0.49798549556809024,1.131772552650176,7.911434236615994,2.2009312701441557,0.4011896893588896
I,fixed,"S=60, L=140, D=60, H=rs_default",60,140,60,rs_default,close,open,open_to_open,0.0666650340086985,0.21527830644613802,0.3096690749254751,0.43138648509122757,0.15453667723178785,0.49962714392244595,1.11598830253162,7.411764705882353,2.1704968067944423,0.4388631857237277
RB,fixed,"S=60, L=140, D=60, H=rs_default",60,140,60,rs_default,close,open,open_to_open,0.025178174541276466,0.15356214256677456,0.16396081820965772,0.3506887759402637,0.0717963512626515,0.5086923658352229,1.028302869601564,5.413086582947786,1.3479628708696383,0.43258426966292135
CU,fixed,"S=60, L=140, D=60, H=rs_default",60,140,60,rs_default,close,open,open_to_open,0.019103965181947347,0.1333902492905332,0.14321860318543664,0.4136335211755472,0.04618572771291322,0.48194748358862144,1.1277074606280786,6.412425644415069,1.2551254116995751,0.5984798413747522
V,fixed,"S=60, L=140, D=60, H=rs_default",60,140,60,rs_default,close,open,open_to_open,0.009358457669214948,0.14391793043074222,0.06502634967863527,0.4997716509357435,0.01872546722426675,0.49318624269954575,1.0625008644490714,5.662921348314606,1.1183486653652128,0.5102445472571051
NI,fixed,"S=60, L=140, D=60, H=rs_default",60,140,60,rs_default,close,open,open_to_open,-0.008183511081463757,0.17897562830379463,-0.045724164563752785,0.4749962070487108,-0.017228581955022935,0.48627450980392156,1.0683476992671614,6.006600660066007,0.9149172778837,0.4583791712504584
RU,fixed,"S=60, L=140, D=60, H=rs_default",60,140,60,rs_default,close,open,open_to_open,-0.010409780101810373,0.20301173616883003,-0.05127674044003702,0.5580706365508101,-0.018653158614738555,0.4848837209302326,1.0761520787394605,7.078651685393258,0.8819189325907263,0.565102445472571
TA,fixed,"S=60, L=140, D=60, H=rs_default",60,140,60,rs_default,close,open,open_to_open,-0.04231010585118178,0.17883394157301732,-0.2365887900195204,0.5797757769073044,-0.07297667052748634,0.48896434634974534,1.0087251320109576,7.32848645076008,0.5950450501083726,0.5753469927296762
